Carimbo de data/hora,1 - Sua idade se encaixa em qual faixa etária?,2 - Em qual região de São Paulo você mora?,3 - Você tem dificuldade para utilizar aplicativos no seu celular?,4 - Você usa seu celular para compras diárias ,5 - Qual seu nível de confiança ao comprar online?,"6 - Quando compra online, qual seu método de pagamento preferido?",7 - Você dirige constantemente?,8 - O quanto você usa estacionamento?,9 - Como você classifica sua dificuldade ao encontrar vagas em estacionamentos?,10 - Qual a probabilidade você utilizar um aplicativo para reservar vagas em estacionamentos?
18/03/2024 17:00:31,D) 50+,A) ZL,Sim,Não,Moderada,Cartão de Crédito,Não,Pouco,Baixa,Baixa
18/03/2024 23:42:11,A) 18 - 25,A) ZL,Não,Sim,Alta,Cartão de Crédito,Não,Moderado,Moderada,Moderada
18/03/2024 23:52:37,A) 18 - 25,C) ZS,Não,Não,Moderada,Cartão de Crédito,Sim,Moderado,Moderada,Moderada
19/03/2024 00:49:40,A) 18 - 25,A) ZL,Não,Sim,Alta,PIX,Sim,Moderado,Alta,Alta
19/03/2024 08:12:29,A) 18 - 25,A) ZL,Não,Sim,Moderada,Cartão de Crédito,Não,Pouco,Baixa,Baixa
19/03/2024 09:49:18,A) 18 - 25,A) ZL,Não,Sim,Alta,Cartão de Crédito,Sim,Moderado,Moderada,Alta
19/03/2024 11:07:26,A) 18 - 25,A) ZL,Não,Sim,Alta,PIX,Não,Pouco,Baixa,Baixa
19/03/2024 12:25:01,D) 50+,A) ZL,Não,Sim,Moderada,Cartão de Crédito,Sim,Pouco,Baixa,Baixa
19/03/2024 13:23:41,A) 18 - 25,A) ZL,Não,Sim,Alta,PIX,Sim,Muito,Moderada,Alta
19/03/2024 15:29:41,A) 18 - 25,A) ZL,Não,Sim,Moderada,Cartão de Débito,Não,Pouco,Alta,Moderada
19/03/2024 17:05:39,C) 37 - 50,A) ZL,Sim,Não,Moderada,PIX,Sim,Muito,Alta,Alta
19/03/2024 18:14:41,C) 37 - 50,D) ZN,Não,Sim,Alta,Cartão de Crédito,Sim,Muito,Alta,Alta
19/03/2024 18:15:41,C) 37 - 50,C) ZS,Não,Não,Alta,Cartão de Débito,Sim,Moderado,Moderada,Moderada
19/03/2024 21:19:25,D) 50+,A) ZL,Não,Sim,Moderada,Cartão de Débito,Sim,Muito,Alta,Alta
19/03/2024 21:25:25,C) 37 - 50,A) ZL,Não,Sim,Moderada,PIX,Sim,Moderado,Moderada,Alta
19/03/2024 21:28:38,C) 37 - 50,A) ZL,Não,Sim,Moderada,Cartão de Crédito,Sim,Muito,Alta,Alta
19/03/2024 21:35:01,D) 50+,A) ZL,Não,Não,Baixa,Cartão de Crédito,Sim,Muito,Baixa,Moderada
19/03/2024 21:48:26,C) 37 - 50,A) ZL,Sim,Não,Moderada,Cartão de Débito,Não,Pouco,Moderada,Moderada
19/03/2024 21:50:03,C) 37 - 50,A) ZL,Não,Não,Moderada,Cartão de Crédito,Sim,Moderado,Moderada,Moderada
19/03/2024 21:51:24,C) 37 - 50,A) ZL,Não,Sim,Moderada,Cartão de Crédito,Sim,Moderado,Moderada,Alta
19/03/2024 21:59:21,C) 37 - 50,A) ZL,Não,Sim,Alta,Cartão de Crédito,Sim,Muito,Moderada,Alta
19/03/2024 21:59:55,C) 37 - 50,A) ZL,Não,Sim,Moderada,PIX,Sim,Moderado,Moderada,Moderada
19/03/2024 22:03:10,D) 50+,A) ZL,Não,Sim,Moderada,Cartão de Crédito,Sim,Moderado,Baixa,Alta
19/03/2024 22:04:18,C) 37 - 50,A) ZL,Não,Sim,Baixa,Cartão de Crédito,Sim,Pouco,Moderada,Baixa
19/03/2024 22:11:13,B) 26 - 36,A) ZL,Não,Não,Baixa,Cartão de Crédito,Sim,Muito,Alta,Moderada
20/03/2024 06:33:58,C) 37 - 50,A) ZL,Não,Sim,Moderada,PIX,Sim,Moderado,Baixa,Baixa
20/03/2024 07:04:05,A) 18 - 25,A) ZL,Não,Sim,Alta,Cartão de Crédito,Não,Pouco,Baixa,Alta
20/03/2024 09:20:03,D) 50+,A) ZL,Sim,Não,Alta,Pagamento na entrega,Sim,Moderado,Moderada,Moderada
20/03/2024 10:55:05,D) 50+,A) ZL,Sim,Sim,Moderada,Cartão de Crédito,Sim,Muito,Moderada,Baixa
20/03/2024 11:19:43,B) 26 - 36,A) ZL,Não,Sim,Alta,PIX,Não,Moderado,Moderada,Moderada
20/03/2024 11:24:56,B) 26 - 36,A) ZL,Não,Sim,Moderada,PIX,Não,Pouco,Alta,Alta
20/03/2024 11:42:29,B) 26 - 36,A) ZL,Não,Sim,Alta,Cartão de Crédito,Não,Pouco,Baixa,Baixa
20/03/2024 13:06:27,D) 50+,A) ZL,Não,Não,Moderada,Cartão de Crédito,Sim,Pouco,Moderada,Baixa
20/03/2024 13:35:41,B) 26 - 36,A) ZL,Não,Sim,Moderada,PIX,Sim,Moderado,Moderada,Alta
20/03/2024 15:42:56,B) 26 - 36,A) ZL,Não,Sim,Moderada,Cartão de Crédito,Sim,Muito,Moderada,Alta
20/03/2024 17:26:52,D) 50+,A) ZL,Sim,Não,Baixa,PIX,Sim,Pouco,Moderada,Baixa
20/03/2024 18:54:36,B) 26 - 36,A) ZL,Não,Não,Alta,Cartão de Crédito,Não,Pouco,Alta,Alta
20/03/2024 19:00:23,B) 26 - 36,B) ZO,Não,Sim,Alta,Cartão de Crédito,Não,Pouco,Baixa,Baixa
20/03/2024 20:30:28,C) 37 - 50,A) ZL,Não,Não,Alta,PIX,Sim,Pouco,Moderada,Moderada
21/03/2024 17:51:15,A) 18 - 25,A) ZL,Não,Não,Alta,PIX,Sim,Pouco,Baixa,Baixa
21/03/2024 19:05:23,D) 50+,A) ZL,Sim,Não,Baixa,Cartão de Crédito,Sim,Muito,Alta,Alta
21/03/2024 19:19:40,C) 37 - 50,A) ZL,Não,Sim,Moderada,PIX,Sim,Moderado,Alta,Alta
21/03/2024 20:19:03,D) 50+,A) ZL,Sim,Não,Baixa,PIX,Sim,Moderado,Alta,Alta
21/03/2024 21:35:27,D) 50+,A) ZL,Não,Sim,Moderada,Cartão de Crédito,Não,Pouco,Baixa,Baixa
21/03/2024 21:36:38,C) 37 - 50,A) ZL,Não,Sim,Alta,PIX,Não,Pouco,Baixa,Baixa
21/03/2024 22:37:46,C) 37 - 50,D) ZN,Não,Sim,Alta,PIX,Sim,Moderado,Alta,Alta
21/03/2024 22:38:19,C) 37 - 50,A) ZL,Não,Sim,Alta,Cartão de Débito,Não,Pouco,Moderada,Moderada
22/03/2024 07:57:54,A) 18 - 25,A) ZL,Não,Sim,Alta,PIX,Não,Pouco,Moderada,Alta
22/03/2024 07:58:25,A) 18 - 25,A) ZL,Não,Sim,Moderada,PIX,Não,Pouco,Baixa,Baixa
22/03/2024 08:05:24,A) 18 - 25,A) ZL,Não,Sim,Alta,Cartão de Crédito,Não,Pouco,Alta,Alta
22/03/2024 08:13:44,B) 26 - 36,A) ZL,Não,Sim,Alta,PIX,Não,Pouco,Baixa,Baixa
22/03/2024 08:15:12,A) 18 - 25,A) ZL,Não,Sim,Moderada,Cartão de Crédito,Sim,Pouco,Moderada,Alta
22/03/2024 08:50:06,A) 18 - 25,A) ZL,Não,Sim,Moderada,Cartão de Crédito,Não,Pouco,Baixa,Baixa
22/03/2024 08:50:37,A) 18 - 25,A) ZL,Sim,Sim,Moderada,Cartão de Débito,Sim,Moderado,Moderada,Alta
22/03/2024 09:04:49,A) 18 - 25,A) ZL,Não,Sim,Moderada,Cartão de Crédito,Sim,Pouco,Moderada,Moderada
22/03/2024 09:42:37,A) 18 - 25,A) ZL,Não,Sim,Moderada,PIX,Não,Pouco,Baixa,Baixa
22/03/2024 09:47:54,B) 26 - 36,E) ABC,Não,Sim,Alta,Cartão de Crédito,Sim,Pouco,Moderada,Moderada
22/03/2024 09:51:16,B) 26 - 36,E) ABC,Não,Sim,Alta,Cartão de Crédito,Sim,Pouco,Baixa,Baixa
22/03/2024 10:10:33,B) 26 - 36,C) ZS,Não,Sim,Alta,PIX,Não,Pouco,Moderada,Moderada
22/03/2024 10:27:08,A) 18 - 25,A) ZL,Não,Sim,Alta,PIX,Não,Pouco,Moderada,Moderada
22/03/2024 10:31:03,B) 26 - 36,C) ZS,Não,Sim,Moderada,Cartão de Crédito,Não,Pouco,Moderada,Moderada
22/03/2024 10:57:06,A) 18 - 25,A) ZL,Não,Sim,Moderada,PIX,Sim,Moderado,Moderada,Alta
22/03/2024 10:57:38,A) 18 - 25,A) ZL,Não,Sim,Moderada,PIX,Sim,Muito,Moderada,Alta
22/03/2024 11:15:31,B) 26 - 36,E) ABC,Não,Sim,Alta,PIX,Sim,Moderado,Alta,Alta
22/03/2024 11:40:45,A) 18 - 25,A) ZL,Não,Não,Moderada,Cartão de Crédito,Sim,Moderado,Moderada,Baixa
22/03/2024 12:31:47,A) 18 - 25,A) ZL,Não,Sim,Alta,Cartão de Crédito,Não,Moderado,Moderada,Alta
22/03/2024 12:47:41,A) 18 - 25,A) ZL,Não,Sim,Alta,Cartão de Débito,Não,Moderado,Baixa,Moderada
22/03/2024 13:02:32,B) 26 - 36,A) ZL,Não,Não,Moderada,Cartão de Crédito,Sim,Pouco,Moderada,Alta
22/03/2024 13:03:07,A) 18 - 25,A) ZL,Não,Não,Moderada,PIX,Não,Pouco,Moderada,Moderada
22/03/2024 13:06:21,A) 18 - 25,A) ZL,Não,Sim,Alta,PIX,Não,Moderado,Alta,Alta
22/03/2024 13:13:01,A) 18 - 25,D) ZN,Não,Não,Moderada,PIX,Não,Pouco,Baixa,Baixa
22/03/2024 13:14:55,B) 26 - 36,D) ZN,Não,Não,Baixa,PIX,Não,Pouco,Baixa,Baixa
22/03/2024 13:26:26,A) 18 - 25,A) ZL,Não,Sim,Moderada,Cartão de Crédito,Não,Pouco,Baixa,Baixa
22/03/2024 13:47:53,A) 18 - 25,A) ZL,Não,Sim,Alta,PIX,Não,Pouco,Baixa,Baixa
22/03/2024 13:51:44,A) 18 - 25,B) ZO,Sim,Sim,Moderada,Cartão de Débito,Sim,Pouco,Baixa,Moderada
22/03/2024 13:52:10,B) 26 - 36,C) ZS,Não,Sim,Baixa,PIX,Sim,Pouco,Baixa,Moderada
22/03/2024 14:16:57,A) 18 - 25,A) ZL,Não,Sim,Baixa,PIX,Sim,Pouco,Moderada,Baixa
22/03/2024 14:38:58,A) 18 - 25,D) ZN,Não,Sim,Alta,Cartão de Crédito,Sim,Moderado,Alta,Alta
22/03/2024 14:53:18,A) 18 - 25,A) ZL,Não,Não,Moderada,PIX,Não,Moderado,Moderada,Moderada
22/03/2024 15:06:43,B) 26 - 36,A) ZL,Não,Sim,Alta,Cartão de Crédito,Não,Pouco,Moderada,Moderada
22/03/2024 15:28:53,B) 26 - 36,A) ZL,Não,Não,Moderada,Cartão de Crédito,Não,Pouco,Moderada,Baixa
22/03/2024 15:29:21,B) 26 - 36,A) ZL,Não,Não,Alta,PIX,Sim,Moderado,Moderada,Moderada
22/03/2024 15:30:30,B) 26 - 36,C) ZS,Não,Sim,Alta,PIX,Não,Moderado,Moderada,Moderada
22/03/2024 15:31:16,B) 26 - 36,A) ZL,Não,Não,Moderada,PIX,Não,Pouco,Alta,Alta
22/03/2024 15:31:51,B) 26 - 36,C) ZS,Não,Sim,Moderada,Cartão de Crédito,Não,Pouco,Moderada,Moderada
22/03/2024 15:33:18,B) 26 - 36,A) ZL,Sim,Não,Baixa,Cartão de Crédito,Sim,Moderado,Moderada,Moderada
22/03/2024 15:33:43,B) 26 - 36,D) ZN,Não,Sim,Alta,Cartão de Débito,Não,Pouco,Baixa,Baixa
22/03/2024 15:45:25,A) 18 - 25,A) ZL,Não,Sim,Moderada,Cartão de Crédito,Sim,Moderado,Baixa,Moderada
22/03/2024 16:17:28,A) 18 - 25,B) ZO,Sim,Sim,Moderada,Cartão de Crédito,Não,Moderado,Alta,Alta
22/03/2024 20:25:55,C) 37 - 50,C) ZS,Não,Não,Alta,PIX,Não,Pouco,Alta,Baixa
22/03/2024 21:26:55,A) 18 - 25,E) ABC,Não,Sim,Alta,PIX,Sim,Muito,Moderada,Moderada
22/03/2024 22:20:35,A) 18 - 25,A) ZL,Não,Sim,Moderada,PIX,Não,Pouco,Baixa,Moderada
23/03/2024 17:36:53,C) 37 - 50,A) ZL,Não,Sim,Moderada,PIX,Sim,Moderado,Baixa,Baixa
23/03/2024 17:38:48,C) 37 - 50,A) ZL,Não,Sim,Moderada,PIX,Sim,Moderado,Baixa,Baixa